title	plot
A priori and a posteriori	"The Latin phrases a priori (lit. ""from the earlier"") and a posteriori (lit. ""from the latter"") are philosophical terms of art popularized by Immanuel Kant's Critique of Pure Reason (first published in 1781, second edition in 1787), one of the most influential works in the history of philosophy. However, in their Latin forms they appear in Latin translations of Euclid's Elements, of about 300 BC, a work widely considered during the early European modern period as the model for precise thinking.
These terms are used with respect to reasoning (epistemology) to distinguish necessary conclusions from first premises (i.e., what must come before sense observation) from conclusions based on sense observation (which must follow it). Thus, the two kinds of knowledge, justification, or argument may be glossed:
A priori knowledge or justification is independent of experience, as with mathematics (3+2=5), tautologies (""All bachelors are unmarried""), and deduction from pure reason (e.g., ontological proofs).
A posteriori knowledge or justification is dependent on experience or empirical evidence, as with most aspects of science and personal knowledge.
There are many points of view on these two types of knowledge, and their relationship is one of the oldest problems in modern philosophy.
The terms a priori and a posteriori are primarily used as adjectives to modify the noun ""knowledge"" (for example, ""a priori knowledge""). However, ""a priori"" is sometimes used to modify other nouns, such as ""truth"". Philosophers also may use ""apriority"" and ""aprioricity"" as nouns to refer (approximately) to the quality of being ""a priori"".
Although definitions and use of the terms have varied in the history of philosophy, they have consistently labeled two separate epistemological notions. See also the related distinctions: deductive/inductive, analytic/synthetic, necessary/contingent."
Abbasid	"The Abbasid Caliphate (/əˈbæsᵻd/ or /ˈæbəsᵻd/ Arabic: الخلافة العباسية‎ al-Khilāfah al-‘Abbāsīyah) was the third of the Islamic caliphates to succeed the Islamic prophet Muhammad. The Abbasid dynasty descended from Muhammad's youngest uncle, Abbas ibn Abd al-Muttalib (566–653 CE), from whom the dynasty takes its name. They ruled as caliphs, for most of their period from their capital in Baghdad in modern-day Iraq, after assuming authority over the Muslim empire from the Umayyads in 750 CE (132 AH).
The Abbasid caliphate first centered its government in Kufa, but in 762 the caliph Al-Mansur founded the city of Baghdad, north of the Sasanian capital city of Ctesiphon. The choice of a capital so close to Persia proper reflected a growing reliance on Persian bureaucrats, most notably of the Barmakid family, to govern the territories conquered by Arab Muslims, as well as an increasing inclusion of non-Arab Muslims in the ummah. Despite this initial cooperation, the Abbasids of the late 8th century had alienated both Arab mawali and Iranian bureaucrats, and were forced to cede authority over Al-Andalus and Maghreb to the Umayyads, Morocco to the Idrisid dynasty, Ifriqiya to the Aghlabids, and Egypt to the Shi'ite Caliphate of the Fatimids. The political power of the caliphs largely ended with the rise of the Buyids and the Seljuq Turks. Although Abbasid leadership over the vast Islamic empire was gradually reduced to a ceremonial religious function, the dynasty retained control over its Mesopotamian demesne. The capital city of Baghdad became a center of science, culture, philosophy and invention during the Golden Age of Islam.
This period of cultural fruition ended in 1258 with the sack of Baghdad by the Mongols under Hulagu Khan. The Abbasid line of rulers, and Muslim culture in general, recentered themselves in the Mamluk capital of Cairo in 1261. Though lacking in political power, the dynasty continued to claim authority in religious matters until after the Ottoman conquest of Egypt (1517)."
Actualization	"Self-actualization is a term that has been used in various psychology theories, often in slightly different ways. The term was originally introduced by the organismic theorist Kurt Goldstein for the motive to realize one's full potential. Expressing one's creativity, quest for spiritual enlightenment, pursuit of knowledge, and the desire to give to society are examples of self-actualization. In Goldstein's view, it is the organism's master motive, the only real motive: ""the tendency to actualize itself as fully as possible is the basic drive... the drive of self-actualization."" Carl Rogers similarly wrote of ""the curative force in psychotherapy – man's tendency to actualize himself, to become his potentialities... to express and activate all the capacities of the organism."" The concept was brought most fully to prominence in Abraham Maslow's hierarchy of needs theory as the final level of psychological development that can be achieved when all basic and mental needs are essentially fulfilled and the ""actualization"" of the full personal potential takes place, although he adapted this viewpoint later on in life, and saw it more flexibly.
Self-actualization can be seen as similar to words and concepts such as self-discovery, self-reflection, self-realisation and self-exploration.
As Abraham Maslow noted, the basic needs of humans must be met (e.g. food, shelter, warmth, security, sense of belonging) before a person can achieve self-actualization – the need to be good, to be fully alive and to find meaning in life. Research shows that when people live lives that are different from their true nature and capabilities, they are less likely to be happy than those whose goals and lives match. For example, someone who has inherent potential to be a great artist or teacher may never realize his/her talents if their energy is focused on attaining the basic needs of humans."
Al-Kindi	"Abu Yūsuf Yaʻqūb ibn ʼIsḥāq aṣ-Ṣabbāḥ al-Kindī (Arabic: أبو يوسف يعقوب بن إسحاق الصبّاح الكندي‎, Latin: Alkindus) (c. 801–873 AD), known as ""the Philosopher of the Arabs"", was a Muslim Arab philosopher, polymath, mathematician, physician and musician. Al-Kindi was the first of the Muslim peripatetic philosophers, and is unanimously hailed as the ""father of Islamic or Arabic philosophy"" for his synthesis, adaptation and promotion of Greek and Hellenistic philosophy in the Muslim world.
Al-Kindi was a descendant of the Kinda tribe. He was born in Basra and educated in Baghdad. Al-Kindi became a prominent figure in the House of Wisdom, and a number of Abbasid Caliphs appointed him to oversee the translation of Greek scientific and philosophical texts into the Arabic language. This contact with ""the philosophy of the ancients"" (as Greek philosophy was often referred to by Muslim scholars) had a profound effect on his intellectual development, and led him to write hundreds of original treatises of his own on a range of subjects ranging from metaphysics, ethics, logic and psychology, to medicine, pharmacology, mathematics, astronomy, astrology and optics, and further afield to more practical topics like perfumes, swords, jewels, glass, dyes, zoology, tides, mirrors, meteorology and earthquakes.
In the field of mathematics, al-Kindi played an important role in introducing Indian numerals to the Islamic and Christian world. He was a pioneer in cryptanalysis and devised several new methods of breaking ciphers. Using his mathematical and medical expertise, he was able to develop a scale that would allow doctors to quantify the potency of their medication.
The central theme underpinning al-Kindi's philosophical writings is the compatibility between philosophy and other ""orthodox"" Islamic sciences, particularly theology. And many of his works deal with subjects that theology had an immediate interest in. These include the nature of God, the soul and prophetic knowledge. But despite the important role he played in making philosophy accessible to Muslim intellectuals, his own philosophical output was largely overshadowed by that of al-Farabi and very few of his texts are available for modern scholars to examine."
Albert Einstein	"Albert Einstein (/ˈaɪnstaɪn/; German: [ˈalbɛɐ̯t ˈaɪnʃtaɪn]; 14 March 1879 – 18 April 1955) was a German-born theoretical physicist. He developed the general theory of relativity, one of the two pillars of modern physics (alongside quantum mechanics). Einstein's work is also known for its influence on the philosophy of science. Einstein is best known in popular culture for his mass–energy equivalence formula E = mc2 (which has been dubbed ""the world's most famous equation""). He received the 1921 Nobel Prize in Physics for his ""services to theoretical physics"", in particular his discovery of the law of the photoelectric effect, a pivotal step in the evolution of quantum theory.
Near the beginning of his career, Einstein thought that Newtonian mechanics was no longer enough to reconcile the laws of classical mechanics with the laws of the electromagnetic field. This led to the development of his special theory of relativity. He realized, however, that the principle of relativity could also be extended to gravitational fields, and with his subsequent theory of gravitation in 1916, he published a paper on general relativity. He continued to deal with problems of statistical mechanics and quantum theory, which led to his explanations of particle theory and the motion of molecules. He also investigated the thermal properties of light which laid the foundation of the photon theory of light. In 1917, Einstein applied the general theory of relativity to model the large-scale structure of the universe.
He was visiting the United States when Adolf Hitler came to power in 1933 and, being Jewish, did not go back to Germany, where he had been a professor at the Berlin Academy of Sciences. He settled in the U.S., becoming an American citizen in 1940. On the eve of World War II, he endorsed a letter to President Franklin D. Roosevelt alerting him to the potential development of ""extremely powerful bombs of a new type"" and recommending that the U.S. begin similar research. This eventually led to what would become the Manhattan Project. Einstein supported defending the Allied forces, but largely denounced the idea of using the newly discovered nuclear fission as a weapon. Later, with the British philosopher Bertrand Russell, Einstein signed the Russell–Einstein Manifesto, which highlighted the danger of nuclear weapons. Einstein was affiliated with the Institute for Advanced Study in Princeton, New Jersey, until his death in 1955.
Einstein published more than 300 scientific papers along with over 150 non-scientific works. On 5 December 2014, universities and archives announced the release of Einstein's papers, comprising more than 30,000 unique documents. Einstein's intellectual achievements and originality have made the word ""Einstein"" synonymous with ""genius""."
Algebra	"Algebra (from Arabic ""al-jabr"" meaning ""reunion of broken parts"") is one of the broad parts of mathematics, together with number theory, geometry and analysis. In its most general form, algebra is the study of mathematical symbols and the rules for manipulating these symbols; it is a unifying thread of almost all of mathematics. As such, it includes everything from elementary equation solving to the study of abstractions such as groups, rings, and fields. The more basic parts of algebra are called elementary algebra, the more abstract parts are called abstract algebra or modern algebra. Elementary algebra is generally considered to be essential for any study of mathematics, science, or engineering, as well as such applications as medicine and economics. Abstract algebra is a major area in advanced mathematics, studied primarily by professional mathematicians. Much early work in algebra, as the Arabic origin of its name suggests, was done in the Middle East, by mathematicians such as al-Khwārizmī (780 – 850) and Omar Khayyam (1048–1131).
Elementary algebra differs from arithmetic in the use of abstractions, such as using letters to stand for numbers that are either unknown or allowed to take on many values. For example, in  the letter  is unknown, but the law of inverses can be used to discover its value: . In E = mc2, the letters  and  are variables, and the letter  is a constant, the speed of light in a vacuum. Algebra gives methods for solving equations and expressing formulas that are much easier (for those who know how to use them) than the older method of writing everything out in words.
The word algebra is also used in certain specialized ways. A special kind of mathematical object in abstract algebra is called an ""algebra"", and the word is used, for example, in the phrases linear algebra and algebraic topology.
A mathematician who does research in algebra is called an algebraist."
Antibiotic	"Antibiotics, also called antibacterials, are a type of antimicrobial drug used in the treatment and prevention of bacterial infection. They may either kill or inhibit the growth of bacteria. A limited number of antibiotics also possess antiprotozoal activity. Antibiotics are not effective against viruses such as the common cold or influenza, and may be harmful when taken inappropriately.
In 1928, Alexander Fleming identified penicillin, the first chemical compound with antibiotic properties. Fleming was working on a culture of disease-causing bacteria when he noticed the spores of little green mold in one of his culture plates. He observed that the presence of the mold killed or prevented the growth of the bacteria.
Antibiotics revolutionized medicine in the 20th century, and have together with vaccination led to the near eradication of diseases such as tuberculosis in the developed world. Their effectiveness and easy access led to overuse, especially in livestock raising, prompting bacteria to develop resistance. This has led to widespread problems with antimicrobial and antibiotic resistance, so much as to prompt the World Health Organization to classify antimicrobial resistance as a ""serious threat [that] is no longer a prediction for the future, it is happening right now in every region of the world and has the potential to affect anyone, of any age, in any country"".
The era of antibacterial chemotherapy began with the discovery of arsphenamine, first synthesized by Alfred Bertheim and Paul Ehrlich in 1907, used to treat syphilis. The first systemically active antibacterial drug, prontosil was discovered in 1933 by Gerhard Domagk, for which he was awarded the 1939 Nobel Prize. All classes of antibiotics in use today were first discovered prior to the mid 1980s.
Sometimes the term antibiotic is used to refer to any substance used against microbes, synonymous to antimicrobial, leading to the widespread but incorrect belief that antibiotics can be used against viruses. Some sources distinguish between antibacterial and antibiotic; antibacterials used in soaps and cleaners etc., but not as medicine. This article treats the terms as synonymous and according to the most widespread definition of antibiotics being a substance used against bacteria."
Antibiotics	"Antibiotics, also called antibacterials, are a type of antimicrobial drug used in the treatment and prevention of bacterial infection. They may either kill or inhibit the growth of bacteria. A limited number of antibiotics also possess antiprotozoal activity. Antibiotics are not effective against viruses such as the common cold or influenza, and may be harmful when taken inappropriately.
In 1928, Alexander Fleming identified penicillin, the first chemical compound with antibiotic properties. Fleming was working on a culture of disease-causing bacteria when he noticed the spores of little green mold in one of his culture plates. He observed that the presence of the mold killed or prevented the growth of the bacteria.
Antibiotics revolutionized medicine in the 20th century, and have together with vaccination led to the near eradication of diseases such as tuberculosis in the developed world. Their effectiveness and easy access led to overuse, especially in livestock raising, prompting bacteria to develop resistance. This has led to widespread problems with antimicrobial and antibiotic resistance, so much as to prompt the World Health Organization to classify antimicrobial resistance as a ""serious threat [that] is no longer a prediction for the future, it is happening right now in every region of the world and has the potential to affect anyone, of any age, in any country"".
The era of antibacterial chemotherapy began with the discovery of arsphenamine, first synthesized by Alfred Bertheim and Paul Ehrlich in 1907, used to treat syphilis. The first systemically active antibacterial drug, prontosil was discovered in 1933 by Gerhard Domagk, for which he was awarded the 1939 Nobel Prize. All classes of antibiotics in use today were first discovered prior to the mid 1980s.
Sometimes the term antibiotic is used to refer to any substance used against microbes, synonymous to antimicrobial, leading to the widespread but incorrect belief that antibiotics can be used against viruses. Some sources distinguish between antibacterial and antibiotic; antibacterials used in soaps and cleaners etc., but not as medicine. This article treats the terms as synonymous and according to the most widespread definition of antibiotics being a substance used against bacteria."
Antibody	"An antibody (Ab), also known as an immunoglobulin (Ig), is a large, Y-shaped protein produced mainly by plasma cells that is used by the immune system to identify and neutralize pathogens such as bacteria and viruses. The antibody recognizes a unique molecule of the harmful agent, called an antigen, via the variable region. Each tip of the ""Y"" of an antibody contains a paratope (analogous to a lock) that is specific for one particular epitope (similarly analogous to a key) on an antigen, allowing these two structures to bind together with precision. Using this binding mechanism, an antibody can tag a microbe or an infected cell for attack by other parts of the immune system, or can neutralize its target directly (for example, by blocking a part of a microbe that is essential for its invasion and survival). Depending on the antigen, the binding may impede the biological process causing the disease or may recruit macrophages to destroy the foreign substance. The ability of an antibody to communicate with the other components of the immune system is mediated via its Fc region (located at the base of the ""Y""), which contains a conserved glycosylation site involved in these interactions. The production of antibodies is the main function of the humoral immune system.
Antibodies are secreted by B cells of the adaptive immune system, mostly by differentiated B cells called plasma cells. Antibodies can occur in two physical forms, a soluble form that is secreted from the cell to be free in the blood plasma, and a membrane-bound form that is attached to the surface of a B cell and is referred to as the B-cell receptor (BCR). The BCR is found only on the surface of B cells and facilitates the activation of these cells and their subsequent differentiation into either antibody factories called plasma cells or memory B cells that will survive in the body and remember that same antigen so the B cells can respond faster upon future exposure. In most cases, interaction of the B cell with a T helper cell is necessary to produce full activation of the B cell and, therefore, antibody generation following antigen binding. Soluble antibodies are released into the blood and tissue fluids, as well as many secretions to continue to survey for invading microorganisms.
Antibodies are glycoproteins belonging to the immunoglobulin superfamily. They constitute most of the gamma globulin fraction of the blood proteins. They are typically made of basic structural units—each with two large heavy chains and two small light chains. There are several different types of antibody heavy chains based on five different types of crystallisable fragments (Fc) that may be attached to the antigen-binding fragments. The five different types of Fc regions allow antibodies to be grouped into five isotypes. Each Fc region of a particular antibody isotype is able to bind to its specific Fc Receptor (except for IgD, which is essentially the BCR), thus allowing the antigen-antibody complex to mediate different roles depending on which FcR it binds. The ability of an antibody to bind to its corresponding FcR is further modulated by the structure of the glycan(s) present at conserved sites within its Fc region. The ability of antibodies to bind to FcRs helps to direct the appropriate immune response for each different type of foreign object they encounter. For example, IgE is responsible for an allergic response consisting of mast cell degranulation and histamine release. IgE's Fab paratope binds to allergic antigen, for example house dust mite particles, while its Fc region binds to Fc receptor ε. The allergen-IgE-FcRε interaction mediates allergic signal transduction to induce conditions such as asthma.
Though the general structure of all antibodies is very similar, a small region at the tip of the protein is extremely variable, allowing millions of antibodies with slightly different tip structures, or antigen-binding sites, to exist. This region is known as the hypervariable region. Each of these variants can bind to a different antigen. This enormous diversity of antibody paratopes on the antigen-binding fragments allows the immune system to recognize an equally wide variety of antigens. The large and diverse population of antibody paratope is generated by random recombination events of a set of gene segments that encode different antigen-binding sites (or paratopes), followed by random mutations in this area of the antibody gene, which create further diversity. This recombinational process that produces clonal antibody paratope diversity is called V(D)J or VJ recombination. Basically, the antibody paratope is polygenic, made up of three genes, V, D, and J. Each paratope locus is also polymorphic, such that during antibody production, one allele of V, one of D, and one of J is chosen. These gene segments are then joined together using random genetic recombination to produce the paratope. The regions where the genes are randomly recombined together is the hyper variable region used to recognise different antigens on a clonal basis.
Antibody genes also re-organize in a process called class switching that changes the one type of heavy chain Fc fragment to another, creating a different isotype of the antibody that retains the antigen-specific variable region. This allows a single antibody to be used by different types of Fc receptors, expressed on different parts of the immune system."
Antimatter	"In particle physics, antimatter is a material composed of antiparticles, which have the same mass as particles of ordinary matter but opposite charges, as well as other particle properties such as lepton and baryon numbers and quantum spin. Collisions between particles and antiparticles lead to the annihilation of both, giving rise to variable proportions of intense photons (gamma rays), neutrinos, and less massive particle–antiparticle pairs. The total consequence of annihilation is a release of energy available for work, proportional to the total matter and antimatter mass, in accord with the mass–energy equivalence equation, E = mc2.
Antiparticles bind with each other to form antimatter, just as ordinary particles bind to form normal matter. For example, a positron (the antiparticle of the electron) and an antiproton (the antiparticle of the proton) can form an antihydrogen atom. Physical principles indicate that complex antimatter atomic nuclei are possible, as well as anti-atoms corresponding to the known chemical elements. Studies of cosmic rays have identified both positrons and antiprotons, presumably produced by collisions between particles of ordinary matter. Satellite-based searches of cosmic rays for antideuteron and antihelium particles have yielded nothing.
There is considerable speculation as to why the observable universe is composed almost entirely of ordinary matter, as opposed to a more even mixture of matter and antimatter. This asymmetry of matter and antimatter in the visible universe is one of the great unsolved problems in physics. The process by which this inequality between particles and antiparticles developed is called baryogenesis.
Antimatter in the form of anti-atoms is one of the most difficult materials to produce. Antimatter in the form of individual anti-particles, however, is commonly produced by particle accelerators and in some types of radioactive decay. The nuclei of antihelium (both helium-3 and helium-4) have been artificially produced with difficulty. These are the most complex anti-nuclei so far observed."
