title	plot
About Schmidt 	"Warren Schmidt is retiring from his position as an actuary with Woodmen of the World, an insurance company in Omaha, Nebraska. After a retirement dinner, Schmidt finds it hard to adjust to his new life, feeling useless. He sees a television advertisement about a foster program for African children, Plan USA, and decides to sponsor a child. He soon receives an information package with a photo of his foster child, a small Tanzanian boy named Ndugu Umbo, to whom he relates his life in a series of candid, rambling letters.
Schmidt visits his young successor to offer his help, but the offer is politely declined. As he leaves the building, Schmidt sees the contents and files of his office, the sum of his entire career, set out for garbage collectors.
He describes to Ndugu his longtime alienation from Helen, his wife, who suddenly dies from a blood clot in her brain just after their purchase of a Winnebago Adventurer motor home. Jeannie, his only daughter, and her fiancé Randall Hertzel arrive from Denver. They console him at the funeral, but Jeannie later berates him for taking his wife for granted, such as by refusing to fully pay for the Winnebago (he wanted the cheaper Mini Winni) and burying her in a cheap casket. He asks her to move back to take care of him, but she refuses. Meanwhile, Randall tries to entice him into a pyramid scheme.
Schmidt feels his daughter could do better than Randall, a waterbed salesman. After the couple leaves, Schmidt is overcome by loneliness. He stops showering, sleeps in front of the television, and goes shopping with a coat over pajamas to load up on frozen foods. In his wife's closet he discovers some hidden love letters disclosing her long-ago affair with Ray, a mutual friend, whom Schmidt angrily confronts.
He decides to take a journey alone in his new Winnebago to visit his daughter and convince her not to marry Randall. He tells Jeannie he's leaving early for the wedding, but she makes it clear she doesn't want him there until right before the ceremony. Schmidt decides to visit places from his past, including his college campus and fraternity at University of Kansas and his hometown in Nebraska. His childhood home has been replaced by a tire shop. While at a trailer campground, he is invited to dinner by a friendly and sympathetic couple. When the man leaves to buy some beer, Schmidt makes a pass at the wife, and flees in terror when she adamantly rejects his advance.
Sitting on the roof of his RV on a starry night, Schmidt forgives his departed wife for her affair and apologizes to her for his own failings as a husband. At that moment, he is amazed to see a bright meteor streak across the sky as a possible sign from Helen that she forgives him.
Feeling full of purpose and energetic renewal, Schmidt arrives in Denver, where he stays at the home of Roberta, Randall's mother. He is appalled by Randall's eccentric, socially odd family and tries unsuccessfully to dissuade Jeannie from the marriage. Schmidt throws out his back after sleeping on Randall's waterbed, infuriating Jeannie. Roberta assures Schmidt that a soak in her hot tub will help his back, but he flees after a nude Roberta makes a pass at him in the tub. The next day, Schmidt, under the influence of Percodan to soothe his back pain, attends the wedding and delivers a kind speech at the reception, hiding his disapproval.
On his way home from Denver, Schmidt composes a letter to Ndugu. Schmidt questions what he has accomplished in life, lamenting that he will soon be dead, that his life has made no difference to anyone, and that eventually it will be as if he has never existed at all.
A pile of mail is waiting for him at home. Schmidt opens a letter from Tanzania. It is from a nun, who writes that Ndugu is illiterate and doesn't know English but appreciates Schmidt's letters and financial support very much. A crayon drawing by Ndugu is enclosed, showing two smiling stick figures, one large and one small, holding hands on a sunny day. The film ends with Schmidt weeping as he realizes his existence has made a difference for one person, at least."
Accepted 	"Bartleby Gaines (Justin Long) is a persuasive senior from William McKinley High School in Wickliffe, Ohio, who, among other pranks, creates fake IDs. His gifts do not extend to grades, however, and he receives rejection letters from all of the colleges to which he applies, including those with high acceptance rates. In an attempt to gain approval from his strict father (Mark Derwin), Bartleby creates a fake college, the South Harmon Institute of Technology (S.H.I.T.). His best friend, Sherman Schrader III (Jonah Hill), who has been accepted into his father's prestigious alma mater Harmon College, aids Bartleby and fellow rejects Rory Thayer (Maria Thayer), who only applied to Yale University and was rejected due to legacy preferences; Hands Holloway (Columbus Short), who lost his athletic scholarship after an injury; and Glen (Adam Herschman), who failed his SAT exam due to vacuity. To make the ""college"" seem legitimate, Bartleby convinces Sherman to create a functional website for the school.
When his father insists on meeting the dean, Bartleby hires Sherman's peculiar uncle, Ben Lewis (Lewis Black), a former Harmon College professor, to play that role, and he leases an abandoned psychiatric hospital adjacent to Harmon College and renovates it to look like a college campus. Their plan backfires when the website, which automatically accepts any applicant, enrolls hundreds of other rejected students. Bartleby realizes that these people have nowhere else to go, so he lets them believe that the school is real, a place where they will finally feel accepted, despite objections from his friends. After a visit to Harmon disenchants him with traditional college life, he has the students create their own curricula. Students write down what they want to learn on a giant whiteboard, ranging from the culinary arts, sculpting, meditations, to unusual courses such as psychokinesis, a subject one eccentric kid (Jeremy Howard) wishes to study.
Bartleby creates a school newspaper (the S.H.I.T. Rag), invents a mascot (the S.H.I.T. Sandwiches), and throws themed parties. Meanwhile, the dean of Harmon College, Richard Van Horne (Anthony Heald), makes plans to construct the Van Horne Gateway, a park-like ""verdant buffer zone"" adjacent to the college that the dean hopes will ""keep knowledge in and ignorance out"". He dispatches Hoyt Ambrose (Travis Van Winkle) to free up the nearby properties, but when Bartleby refuses to relinquish the lease for the South Harmon property, Hoyt sets to work trying to reveal the college as a fake. The dispute turns personal, since Bartleby has been vying for the affections of Hoyt's ex-girlfriend, Monica Moreland (Blake Lively). Hoyt exposes South Harmon as a fake institution through Sherman, who is attempting to join Hoyt's fraternity as a legacy, but is constantly humiliated and abused by them. After debasing Sherman once more, the fraternity violently forces him to hand over all the files he has created for South Harmon.
Hoyt contacts all the students' parents, and with Van Horne, he reveals the school as a sham. Soon after, the school is forced to close, but Sherman, who has had enough with Harmon College's corruption, files for accreditation on behalf of South Harmon, giving Bartleby a chance to make his college legitimate. At the subsequent State of Ohio educational accreditation hearing, Bartleby makes an impassioned speech about the failures of conventional education and the importance of following one's own passions, convincing the board to grant his school a one-year probationary accreditation to test his new system, thus foiling Van Horne's plans. The college reopens, with more students enrolling, including Sherman and Monica. In addition, Bartleby finally earns the approval of his father, who is proud that his son now owns a college. As the film closes, Van Horne walks to his car in the parking lot, only to watch it suddenly explode. Bartleby watches in astonishment as the eccentric student from earlier makes his interest in psychokinetic explosion a reality."
Adaptation. 	"The self-loathing Charlie Kaufman is hired to write the screenplay for The Orchid Thief. Kaufman is going through depression and is not happy that his twin brother, Donald, has moved into his house and is mooching from him. Donald decides to become a screenwriter like Charlie and attends one of Robert McKee's famous seminars.
Charlie, who rejects formulaic script writing, wants to ensure that his script is a faithful adaptation of The Orchid Thief. However, he comes to realize that the book does not have a usable narrative and that it is impossible to turn into a film, leaving him with a serious case of writer's block. Already well over his deadline with Columbia Pictures, and despairing at writing his script with self-reference, Charlie travels to New York to discuss the screenplay with Orlean directly. Unable to face her and with the surprising news that Donald's spec script for a clichéd psychological thriller, called The 3, is selling for six or seven figures, Kaufman resorts to attending McKee's seminar in New York and asks him for advice. Charlie ends up asking Donald to join him in New York to assist with the story structure.
Donald pretends to be Charlie and interviews Orlean, but is suspicious of her account of the events of her book because she acts as though she is lying. He and his brother Charlie follow Orlean to Florida where she meets Laroche, the orchid-stealing protagonist of Orlean's book and her secret lover. It is revealed that the Seminole wanted the ghost orchid in order to manufacture a drug that causes fascination; Laroche introduces this drug to Orlean. After Laroche and Orlean catch Charlie observing them taking the drug and having sex, she decides that Charlie must die.
Orlean forces Charlie at gunpoint to drive to the swamp, where she intends to kill him. Charlie and Donald escape and hide in the swamp, where they resolve their differences and Charlie's problems with women. Laroche accidentally shoots Donald. Fleeing, Charlie and Donald drive off but crash into a ranger's truck; Donald dies in the accident. Charlie runs off into the swamp to hide but is spotted by Laroche. However, Laroche is killed by an alligator before being able to kill Charlie.
Orlean is arrested. Charlie makes up with his mother, tells his former love interest Amelia that he is still in love with her, and finishes the script. It ends with Charlie in a voice-over announcing the script is finished and that he wants Gérard Depardieu to portray him in the film."
The Adventures of Pluto Nash 	"In 2079, there is a colony on the Moon called Little America. A retired smuggler called Pluto Nash (Eddie Murphy), who just left prison, buys a nightclub, in an attempt to fulfil a long-time wish of his. Additionally, this prevents the murder by ingestion of battery acid of the club's previous owner, Anthony Frankowski (Jay Mohr), a Polish polka dancer, by mobsters Gino (Burt Young) and Larry (Lillo Brancato) whom Anthony owed money to. Pluto rebuilds the club and establishes it as ""Club Pluto."" In the next seven years, Club Pluto becomes a very popular Little America nightclub. Its staff consists of Pluto himself, a Hispanic assistant, and an android named Bruno (Randy Quaid), an inferior 63 plus model.
In 2087, Pluto is approached by a young woman named Dina Lake (Rosario Dawson), who has become stranded on the Moon and desires to earn some money by which to pay for transport back to Earth to Salt Lake City. Because her father ""Nicky Sticks"" was a friend of Pluto's, she seeks help from Pluto offering her skills as a singer. Pluto, instead, gives her a job as a server at his club and allows her to remain inside to sleep after its nightly closure to the public. During the same night, Pluto is accosted thrice by Mogan (Joe Pantoliano) and Kelp (Victor Varnado), messengers of a mysterious entrepreneur called Rex Crater. They tell Pluto that Rex wishes to buy Club Pluto and convert it into a gambling casino. Pluto refuses, and Rex Crater's minions destroy the club. Pluto, Dina, and Bruno escape.
Determined to get his club back, Pluto decides to investigate Rex Crater, of whom very few people know anything. From Rowland (Peter Boyle), a retired police officer, with connections to the FBI who is a friend of his mother's, Pluto learns that Rex Crater is never seen outside of a penthouse in the city of Moon Beach, and that he was involved with a geneticist called Runa Pendankin, who specialized in human cloning before her mysterious death.
Pluto and Dina visit Doctor Runa Pendankin's apprentice Mona Zimmer (Illeana Douglas), who operates a cosmetic surgery station. They pose as a married couple attempting to revive their infatuation for one another by having their figures altered. After having seen, and adapted to their liking, several examples of commonly preferred bodily shapes and contours, they reveal that they have come for information regarding Doctor Pendankin's death. Mona Zimmer, having been intimidated by Pluto's bluffs, reveals that shortly prior to her death Doctor Pendankin had worked for or with an Earth criminal whose initials, inscribed on his briefcase, appear to have been ""WZW"".
Pluto and Dina return to the hotel and meet Pluto's mother Flura Nash (Pam Grier), who lives there, and has Bruno recharged in her room. They are subsequently attacked by Rex Crater's assassins, who have tracked them to the hotel. Upon hijacking a limo with a holographic chauffeur named James (John Cleese), Pluto takes Dina and Bruno to an old refuge outside of the colonies of his from his smuggling days.
At the hideout Pluto searches online for information regarding any Earth criminal with the initials ""WZW."" When this yields nothing, Dina suggests that the initials are in fact ""MZM,"" having been seen upside-down by Mona Zimmer. Pluto searches for ""MZM"" and discovers a criminal called Michael Zoroaster Marucci (Alec Baldwin). Pluto suspects that Michael Marucci and Rex Crater are one and the same. Abruptly, he is contacted by his mother, who tells him that Rowland has been killed by a fellow police officer and the hideout is attacked by Rex Crater's agents. A chase ensues and the heroes escape, but their car is damaged and explodes, causing them to be presumed dead by the agents. They manage to get out in their astronaut suits but soon run out of oxygen and pass out. Bruno carries them through the Moon desert, but soon, his battery runs out.
They are eventually rescued and taken to Moon Beach by Felix Laranga (Luis Guzmán), a local smuggler who idolizes Pluto Nash. They infiltrate Rex Crater's casino/hotel. Bruno ends up running afoul of a robot slot machine whose lever he accidentally breaks. When Bruno is taken away by security, Pluto sends Dina to pay for the damages and get Bruno out.
Pluto meets with Anthony, who is now going under the name Tony Francis, a famous intergalactic singer. While in an elevator he stalled, Pluto asks Tony if there is a way up to Rex Crater's penthouse. Pluto is told that the only way is to climb up via the elevator ropes. When they leave the elevator after Pluto asks about a Plan B, Rex's assistant Belcher (James Rebhorn) and some men attack where they knock Tony out while Pluto is stunned which was Belcher's version of ""Plan B."" Meanwhile, Dina approaches the security guard at the place where the robots are locked up. When the guard tells Dina that the repairs on the robot slot machine aren't done yet, Bruno manages to trick the guard into letting him out and then knocks him out. Just then, Dina and Bruno are captured by Mogan, Kelp, and some of Rex's men, and taken to Rex's penthouse.
Upon being un-stunned by Belcher, Pluto accuses Rex Crater of being Michael Marucci. At this, Rex Crater turns his chair around and reveals himself to be a clone of Pluto. Rex (also Eddie Murphy) and Belcher explain that Rex was created by Runa Pendankin from Pluto's removed appendix to act as the public face of Michael Marucci's illegal activities. However, Rex has killed both Marucci and Runa and established his own criminal enterprise. He also states that he was the one who told his henchmen where Pluto was hiding out due to him also inheriting Pluto's memories.
When his henchmen arrive and see both Rex and Pluto, Rex kills Mogan and Kelp for their incompetence. He and Pluto then fight while the others are uncertain which is which. Pluto shoots Bruno, and Belcher (who assumes that Pluto would not damage his own robot) shoots Rex. Pluto orders his men to leave and reveals his identity to Dina by speaking of her employment to him, then knocks out Belcher who has realized his mistake in shooting the wrong person. Bruno is shown to have survived unharmed since he was wearing a bulletproof shirt, but Rex is revealed to have worn one also. Rex attempts to garotte Pluto but is thrown through a window and dies upon hitting the card table below.
The movie ends with the heroes celebrating in the rebuilt Club Pluto with Nash as the owner, Dina as the lead singer and Bruno as the new club manager (as Pluto has bought a new model 78 robot as his new bodyguard). Pluto looks at Dina singing on the stage and smiles, smoking a cigar."
The Adventures of Rocky and Bullwinkle 	"1964 saw the cancellation of The Rocky and Bullwinkle Show and life became rather miserable and melancholy for Rocket ""Rocky"" J. Squirrel and Bullwinkle J. Moose. Their home, Frostbite Falls, has been destroyed in deforestation, Rocky has lost his ability to fly, and the show's unseen Narrator lives with his mother, spending his time narrating everything that she does. Bullwinkle and Rocky head out to address the President of the United States regarding their situation, but are stopped for six months by red tape. Meanwhile, their enemies Fearless Leader, Boris Badenov, and Natasha Fatale lose power over Pottsylvania and dig to a Hollywood film studio where they convince an executive Minnie Mogul (Janeane Garofalo) to sign a contract giving her rights to the show, and the villains are transformed from their two-dimensional cel animation origins, and become live-action characters (portrayed by Robert De Niro, Jason Alexander, and Rene Russo). The klutzy FBI agent Karen Sympathy (Piper Perabo) and her manager Cappy von Trapment (Randy Quaid) inform President Signoff (James Rebhorn) that Fearless Leader intends to make himself the President by possessing countless viewers using the cable television network ""RBTV"" (short for ""Really Bad Television""), with virtually nothing but mediocre spy film-based programming on the air. Karen is sent to a special lighthouse to bring Rocky and Bullwinkle to the real world. She succeeds, the Narrator being brought along as well but never being physically seen.
Fearless Leader is informed of Rocky and Bullwinkle's return and sends Boris and Natasha to destroy them. The two take a laptop with them called the CDI (standing for Computer Degenerating Imagery) which can specifically destroy CGI-animated cartoon characters, and send them to the Internet. Karen manages to steal their truck after they drive her car off a cliff, but she is then nabbed by an Oklahoma state trooper (John Goodman) when Natasha claims to be Karen. Natasha and Boris steal a helicopter to pursue Rocky and Bullwinkle. Rocky and Bullwinkle are given a ride by ""Martin and Lewis"" (Kel Mitchell and Kenan Thompson)) two students at Bullwinkle's old university, Wossamotta U. Boris and Natasha get there first, and make a large donation to the university in Bullwinkle's name. In return, the head of the university gives Bullwinkle an honorary ""Mooster's Degree"", and Bullwinkle addresses the student body, whilst Boris attempts to kill him with the CDI upon the water tower which they built in the park. Rocky recovers his lost ability to fly and saves the oblivious Bullwinkle. Martin and Lewis lend the two their car, but Bullwinkle goes on a wild ride through Chicago. Boris and Natasha once again attempt to kill the two but instead destroy their helicopter. Karen escapes prison with help from a love-struck Swedish guard named Ole.
Karen, Rocky, and Bullwinkle are reunited but then arrested and put on trial, where Bullwinkle's dimwittedness takes over him and he sabotages their case by cross-examining Karen as the prosecutor, not the defense attorney. However, the presiding Judge Cameo (Whoopi Goldberg) dismisses their case upon recognizing Rocky and Bullwinkle, stating to the District Attorney (Jeffrey Ross) that celebrities are above the law.
The three then obtain an old biplane from a man named Old Jeb (Jonathan Winters), and escape Boris and Natasha again. The evil duo consider quitting their evil occupations and getting married, but then Fearless Leader calls on the phone. Afraid to admit they failed, they lie to Fearless Leader that they killed Rocky and Bullwinkle. Meanwhile, the plane the heroes fly in is unable to fly with all three aboard. Rocky flies Karen to New York City to stop Fearless Leader, while Bullwinkle flies the plane to Washington, D.C. and lands at the White House. The villains capture Karen and Rocky. Inside the White House, Bullwinkle is discovered and due to having a small brain, resists the mind control. In an attempt to stop Fearless Leader, Cappy e-mails Bullwinkle to RBTV's headquarters to free them. A battle follows, with the heroes winning and convincing the American public to vote for whomever they want but to replant Frostbite Falls' trees. Bullwinkle fiddles with the CDI and inadvertently zaps the villains back to their two-dimensional cartoon forms, and ultimately to the internet once and for all.
At the film's end, RBTV becomes ""Rocky and Bullwinkle Television"". Karen and Ole start dating and go to see the Rocky and Bullwinkle movie. Returning to Frostbite Falls, the narrator reunites with his mother, the trees are replanted, and Rocky ends the movie by flying through the air and spells the words The End. Then Rocky and Bullwinkle say good bye to the people."
After the Sunset 	"Master thief Max Burdett (Pierce Brosnan) and his beautiful accomplice, Lola Cirillo (Salma Hayek), steal the second of three famous diamonds, known as the Napoleon diamonds, from FBI Agent Stanley P. Lloyd (Woody Harrelson). But Lloyd shoots Max before passing out from being gassed by the thieves. Max survives and tells Lola to get the diamond. She does, leaving in its place the one-dollar bill that she had received as a tip for washing the agents' windshield (while in disguise). Max and Lola then fly to Paradise Island in The Bahamas.
Agent Lloyd shows up 6 months later and accuses Burdett of planning to steal the third Napoleon daimond, which is on a cruise ship that will be docking for a week on the island. He denies this, and unwittingly turns the tables and befriends the frustrated detective Lloyd, showing him the pleasures that Paradise Island has to offer, even paying for the most expensive suite, the bridge suite, for as long as Lloyd is there. Lloyd, out of his element, adapts quickly to the easy-going Caribbean lifestyle and partners up with Sophia, a local constable, to try and capture Max at last when he steals the diamond, which Max visits and later gives in to the temptation to steal. Henri Mooré, a powerful, popular tycoon thought of by some as a gangster, learns of Burdett's impressive history as a thief and offers him additional island-life benefits and pleasures in return for stealing the diamond.
Burdett, still wanting the diamond for himself, pretends to work with Mooré, and gives him a fake plan as to how he would steal the diamond (which he had earlier related to Stan), having no trouble keeping ahead of his nemesis in the meantime. Lola kicks Max out after he breaks his promise to spend their first sunset on her new deck she had been working on and after she finds out he lied about writing his vows to her. Max is forced to bunk with Stan, and they share their thoughts about each other's lives. The next morning, the authorities and Sophie discover them, revealing that Stan's FBI license is suspended. They team up to win back Sophia and Lola, but Max still gives in and uses the dive trip as a distraction to steal the diamond, which works perfectly when Mooré's man tries at the same time is a caught after the fake plan doesn't work. After the fallout, Lola leaves Max after Lloyd shoots Mooré dead when he comes for the diamond. He realizes his error, writes his vows, and manages to win back Lola at the airport before she leaves, proposing to her with ""the first diamond he ever bought"".
The next day, Max is met by Stan while celebrating, who reveals he set him up and let Max do all the work while he later recovered the diamond. Max concedes that his nemesis has won this time, and is simply happy to live out his life with Lola, watching sunsets. However, he has fun with Stan when he tries to leave by remote controlling his car again, promising Lola it is the last time."
Agent Cody Banks 	"Cody Banks (Frankie Muniz), a 15-year-old high school junior, applies for a junior field ops position at the Central Intelligence Agency's SAD (Special Activities Division) after completing his summer camp for CIA agents. Answering to his handler Agent Ronica Miles, Cody is called upon a mission to find information about a scientist named Dr. Albert Connors. Connors is employed by a SPECTRE type organization named ERIS led by Dr. Brinkman, and his henchman, François Molay. As all CIA agents are known to Brinkman's organization, the CIA uses the unknown Banks, who is placed into the prep school of Dr. Connors' daughter, Natalie, the William Donovan Institute.
Cody soon finds he has no social skill with girls and has no time to do this while balancing his chores and homework. The CIA decides to help by doing his chores and homework, trying to build his status, and going into the school to set him up with Natalie. The CIA also assemble a varying team of ""experts"" to train Cody into how to talk to girls, and issue him with a variety of gadgets with various functions.
Eventually, Cody befriends, and falls in love with Natalie after saving her from falling off a ladder while putting up a banner, and he is invited to her 16th birthday party, where he goes undercover to her father's lab. Cody finds that Dr. Brinkman is planning to use nanobots — which can destroy any carbon or silicon-based substance — to destroy the world's defense systems so he can threaten anyone who opposes him. Since the nanobots are inactive in the cold, he plans to use ice cubes to distribute them. After Connors, Brinkman and François leave the lab, Cody attempts to steal one of the ice cubes, only for it to melt when in his possession.
Shortly after this, Cody gets into a fight with a number of bullies, at the party. The fight makes the school newspaper, and the CIA suspends Cody from the mission. Meanwhile, with Connors refusing to aid him in his plans, Dr. Brinkman sends François and some men to catch Natalie and bring her into his base in the Cascade Mountains. Meanwhile, disobeying orders to leave her out of it, Cody and Natalie eat ice cream at a restaurant. Cody attempts to explain things to Natalie but François and a group of men come over to their table and fight with Cody, knocking him unconscious and taking Natalie. Cody is removed from the mission, and his parents ground him for staying out past his curfew.
Cody gets his brother Alex to make sure his parents do not find out that he is gone by giving him the $5,000 the CIA gave him. Knowing Natalie's location via a tracking device in a necklace he gave her as a birthday present, Cody breaks into the CIA weapons hold and steals a rocket powered snowboard and other devices to rescue Natalie. Cody gets a ride to the top of the mountain and snowboards to the factory where Natalie is held. On the way, he gets caught in a grove of trees as Ronica finds him using a SoloTrek XFV. After convincing Ronica that they need to rescue Natalie, the pair infiltrate the laboratory and Cody rescues Natalie, also explaining the truth about why he went out with her.
However, the trio are captured by Brinkman's men, although Cody quickly manages to escape. Natalie is held hostage by Dr. Brinkman, who puts an ice cube with a nanobot inside on her forehead to make her father program the system. Cody sets off a series of explosive charges he and Ronica had planted throughout the base, and in the ensuing battle, Ronica fights off several of Dr. Brinkman's men and Natalie kills Dr. Brinkman by placing the ice cube with the nanobots into his mouth, causing it to melt, and the nanobots to devour him from the inside out. Cody later defeats François and sends him to the CIA using the SoloTrek XFV, before fleeing the facility with Ronica, Natalie and Dr. Connors before it explodes. Back at headquarters, the CIA welcomes Cody back to the team and congratulates him for completing the mission. The CIA Director asks Cody if there is anything else he needs and Cody asks them if they could help Natalie get her driver's license, which she receives. Cody and Natalie are now a couple and the film ends with them sharing their first kiss."
Agent Cody Banks 2: Destination London 	"Agent Cody Banks (Frankie Muniz) attends summer camp, actually a secret facility for training CIA teenage agents. When a group of CIA soldiers attempt to abduct head counselor Victor Diaz (Keith Allen), Cody helps him escape, mistaking the CIA operation for a training exercise. The director informs Cody that Diaz stole disks containing plans for a secret mind-control device, and sends Cody to recapture him.
In the United Kingdom, Cody poses as a summer orchestra student at the Kenworth estate to spy on owner Lord Duncan Kenworth, suspected of working with Diaz, supported by his handler, Derek (Anthony Anderson) and Kumar, Derek's right-hand man, who are disguised as a chef hired by Lady Kenworth and a taxi driver respectively. Whilst keeping his mission a secret from his fellow students, Cody sneaks around the estate and confirms that Diaz and Duncan are working together and that they have a working prototype of the mind control device, evidenced when Duncan makes a dog serve drinks and play the piano.
The next day, Cody breaks into a lab owned by Duncan, where he sees the finished device: a microchip inserted as a filling into a tooth cavity by dentist Santiago. Shortly afterwards Cody and Derek chase Diaz, armed with a rocket gun, through London streets, but Cody is captured by the Metropolitan Police Service and taken to Scotland Yard. He is later freed by Emily (Hannah Spearritt), a fellow student who, similar to Cody, is actually a British MI6 undercover operative. While Emily buys coffee and soda, henchmen sneak up on Cody, knocking him unconscious by drugging him with spray. They kidnap him and implant him with the microchip.
Under Duncan, Santiago and Diaz's influence, Cody meets the CIA director, who is then also converted. This is witnessed by Emily, who explains things to Derek. To get the microchip out of Cody, Derek cuts one of Cody's gadgets, exploding Mentos mints, into a precisely minuscule amount to safely remove it. The group later realise Diaz's plan: to implant all of the world leaders, who are all in London for a G7 summit at Buckingham Palace, effectively giving him control of the world.
Deducing that with the CIA director under Diaz's control, they may be put on a most wanted list, Cody, Derek and Emily infiltrate the party before the summit. They explain the truth to the other students, who are performing for the guests, and urge them to keep the world leaders from attending the G7 summit. They later proceed to do so with an impromptu performance of War, whilst Cody, Emily and Derek search for the villains. Derek is implanted with the microchip, and is set on Cody by Santiago. Before Santiago can kill him through Derek, Emily finds and subdues him, disabling the mind control software and rescuing the U.S. President, who was to be implanted.
Shortly after Cody kicks out Derek's microchip, the two of them remove the CIA director's microchip. Diaz, realising that his plan has failed attempts to flee, but ends up fighting, and being defeated by Cody in the Queen's gift room, destroying numerous priceless artifacts in the process. Duncan also attempts to escape, but is tripped by his apparently senile and blind butler, who turns out to be Emily's handler and is arrested, much to Lady Kenworth's delight as he had cruelly dumped her previously.
After the villains are arrested, Cody returns to the camp, where Derek is now in charge as reward. Cody's parents pick him up, none the wiser about his dangerous exploits. Alex, Cody's younger brother tries to eat a few of his explosive Mentos, but Cody tosses them into the pond where they explode harmlessly."
A.I. Artificial Intelligence 	"In the late 21st century, global warming has flooded the coastlines, wiping out coastal cities (Amsterdam, Venice, New York) and drastically reducing the human population. There is a new class of robots called Mecha, advanced humanoids capable of emulating thoughts and emotions. David (Haley Joel Osment), a prototype model created by Cybertronics of New Jersey, is designed to resemble a human child and to display love for its human owners. They test their creation with one of their employees, Henry Swinton (Sam Robards), and his wife Monica (Frances O'Connor). The Swintons' son, Martin (Jake Thomas), had been placed in suspended animation until a cure could be found for his rare disease which was caused by the Sinclair virus. Initially frightened of David, Monica eventually warms up enough to him to activate his imprinting protocol, which irreversibly causes David to have an enduring childlike love for her. He is also befriended by Teddy (Jack Angel), a robotic teddy bear, who takes it upon himself to care for David's well-being.
A cure is found for Martin and he is brought home; as he recovers, it becomes clear he does not want a sibling and soon makes moves to cause issues for David. First, he attempts to make Teddy choose whom he likes more. He then makes David promise to do something and in return Martin will tell Monica that he loves his new ""brother"", making her love him more. The promise David makes is to go to Monica in the middle of the night and cut off a lock of her hair, which of course upsets the parents (not just through the act itself, but because David isn't supposed to go into their room at night). At a pool party, one of Martin's friends unintentionally activates David's self-protection programming by poking him with a knife. David grabs Martin, apparently for protection, but they both fall into the pool. David sinks to the bottom while still clinging to Martin. Martin is saved from drowning, but Henry mistakes David's fear during the pool incident as hate for Martin. Henry persuades Monica to return David to Cybertronics, where he will be destroyed. However, Monica cannot bring herself to do this and, instead, tearfully abandons David in the forest (with Teddy) to hide as an unregistered Mecha. David is captured for an anti-Mecha ""Flesh Fair"", an event where obsolete and unlicensed Mecha are destroyed in front of cheering crowds. David is nearly killed, but the crowd is swayed by his fear (since Mecha do not plea for their lives) into believing he is human and he escapes with Gigolo Joe (Jude Law), a male prostitute Mecha on the run after being framed for murder.
The two set out to find the Blue Fairy, who David remembers from the story The Adventures of Pinocchio. He is convinced that the Blue Fairy will transform him into a human boy, allowing Monica to love him and take him home. Joe and David make their way to Rouge City, a Las Vegas-esque resort. Information from a holographic answer engine called ""Dr. Know"" (Robin Williams) eventually leads them to the top of Rockefeller Center in the flooded ruins of Manhattan. There, David meets an identical copy of himself and, believing he is not special, becomes filled with anger and destroys the copy Mecha. David then meets his human creator, Professor Allen Hobby (William Hurt), who excitedly tells David that finding him was a test, which has demonstrated the reality of his love and desire. However, David learns that he is the namesake and image of Professor Hobby's deceased son and that many copies of David, along with female versions, are already being manufactured. Sadly realizing that he is not unique, a disheartened David attempts to commit suicide by falling from a ledge into the ocean, but Joe rescues him with their stolen amphibicopter. David tells Joe he saw the Blue Fairy underwater and wants to go down to her. At that moment, Joe is captured by the authorities with the use of an electromagnet, but he sets the amphibicopter on submerge. David and Teddy take it to the fairy, which turns out to be a statue from a submerged attraction at Coney Island. Teddy and David become trapped when the Wonder Wheel falls on their vehicle. Believing the Blue Fairy to be real, David asks to be turned into a real boy, repeating his wish without an end, until the ocean freezes in another ice age and his internal power source drains away.
Two thousand years later, humans are extinct and Manhattan is buried under several hundred feet of glacial ice. The now highly advanced Mecha have evolved into an intelligent, silicon-based form. On their project to study humans — believing it was the key to understanding the meaning of existence — they find David and Teddy and discover they are original Mecha who knew living humans, making the pair very special and unique. David is revived and walks to the frozen Blue Fairy statue, which cracks and collapses as he touches it. Having downloaded and comprehended his memories, the advanced Mecha use these to reconstruct the Swinton home and explain to David via an interactive image of the Blue Fairy (Meryl Streep) that it is impossible to make him human. However, at David's insistence, they recreate Monica from DNA in the lock of her hair, which Teddy had saved. One of the Mecha warns David that the clone can live for only a single day and that the process cannot be repeated. The next morning, David is reunited with Monica and spends the happiest day of his life with her and Teddy. Monica tells David that she loves him and has always loved him as she drifts to sleep for the last time. David lies down next to her, closes his eyes and goes ""to that place where dreams are born."" Teddy climbs onto the bed and watches as David and Monica lie peacefully together."
Air Bud: Seventh Inning Fetch 	Josh is off to his first year of college and Buddy has stayed behind with Josh's little sister, Andrea, and the rest of the family. Andrea, attempting to fit in with her junior high classmates, Andrea decides to join the baseball team and along the way discovers that Buddy also has the uncanny ability to play baseball. Just as the season is settling in, a terrible discovery is made—Buddy's puppies have mysteriously started disappearing with the help of the kidnappers' little helper, Rocky Raccoon. It turns out the kidnappers were researchers who were kidnapping the puppies because they thought they had a special gene that would enable them to play sports. Buddy must find them and make it to the major leagues as he goes to bat for the Anaheim Angels.
